Archilochus colubris ,1
Catharus fuscescens,2
Coccyzus americanus,3
Contopus virens,4
Dendroica caerulescens,5
Dendroica cerulea,6
Dendroica discolor,7
Dendroica dominica,8
Dendroica fusca,9
Dendroica magnolia,10
Dendroica pensylvanica,11
Dendroica petechia,12
Dendroica striata,13
Dendroica tigrina,14
Dendroica virens,15
Dolichonyx oryzivorus,16
Empidonax virescens,17
Hirundo rustica,18
Icteria virens,19
Icterus galbula,20
Icterus spurius,21
Mniotilta varia,22
Myiarchus crinitus,23
Oporornis formosus,24
Parula americana,25
Passerina cyanea,26
Petrochelidon pyrrhonota,27
Pheucticus ludovicianus,28
Piranga olivacea,29
Piranga rubra,30
Polioptila caerulea,31
Protonotaria citrea,32
Seiurus aurocapilla,33
Setophaga ruticilla,34
Stelgidopteryx serripennis,35
Tyrannus tyrannus,36
Vermivora pinus,37
Vireo flavifrons,38
Vireo gilvus,39
Vireo griseus,40
Vireo olivaceus,41
Wilsonia citrina,42
