Species-ID,Order,Species name,IUCN name,Tree name,HWI,species
10000,Tinamiformes,Tinamus tao,Tinamus tao,Tinamus_tao,14.19806859,Tinamus_tao
10001,Tinamiformes,Tinamus solitarius,Tinamus solitarius,Tinamus_solitarius,13.63738999,Tinamus_solitarius
10002,Tinamiformes,Tinamus osgoodi,Tinamus osgoodi,Tinamus_osgoodi,13.81304348,Tinamus_osgoodi
10003,Tinamiformes,Tinamus major,Tinamus major,Tinamus_major,20.49552617,Tinamus_major
10004,Tinamiformes,Tinamus guttatus,Tinamus guttatus,Tinamus_guttatus,26.40499811,Tinamus_guttatus
10005,Tinamiformes,Nothocercus bonapartei,Nothocercus bonapartei,Nothocercus_bonapartei,14.16336376,Nothocercus_bonapartei
10006,Tinamiformes,Nothocercus julius,Nothocercus julius,Nothocercus_julius,16.7234717,Nothocercus_julius
10007,Tinamiformes,Nothocercus nigrocapillus,Nothocercus nigrocapillus,Nothocercus_nigrocapillus,15.66157753,Nothocercus_nigrocapillus
10008,Tinamiformes,Crypturellus berlepschi,Crypturellus berlepschi,Crypturellus_berlepschi,23.31738138,Crypturellus_berlepschi
10009,Tinamiformes,Crypturellus cinereus,Crypturellus cinereus,Crypturellus_cinereus,15.68447261,Crypturellus_cinereus
10010,Tinamiformes,Crypturellus soui,Crypturellus soui,Crypturellus_soui,26.7569554,Crypturellus_soui
10011,Tinamiformes,Crypturellus ptaritepui,Crypturellus ptaritepui,Crypturellus_ptaritepui,7.360294118,Crypturellus_ptaritepui
10012,Tinamiformes,Crypturellus obsoletus,Crypturellus obsoletus,Crypturellus_obsoletus,22.46075908,Crypturellus_obsoletus
10013,Tinamiformes,Crypturellus undulatus,Crypturellus undulatus,Crypturellus_undulatus,18.78464497,Crypturellus_undulatus
10014,Tinamiformes,Crypturellus transfasciatus,Crypturellus transfasciatus,Crypturellus_transfasciatus,24.07312521,Crypturellus_transfasciatus
10015,Tinamiformes,Crypturellus strigulosus,Crypturellus strigulosus,Crypturellus_strigulosus,16.36227725,Crypturellus_strigulosus
10016,Tinamiformes,Crypturellus duidae,Crypturellus duidae,Crypturellus_duidae,27.92068287,Crypturellus_duidae
10017,Tinamiformes,Crypturellus erythropus,Crypturellus erythropus,Crypturellus_erythropus,30.14233958,Crypturellus_erythropus
10018,Tinamiformes,Crypturellus noctivagus,Crypturellus noctivagus,Crypturellus_noctivagus,24.05914378,Crypturellus_noctivagus
10019,Tinamiformes,Crypturellus atrocapillus,Crypturellus atrocapillus,Crypturellus_atrocapillus,22.77924544,Crypturellus_atrocapillus
10020,Tinamiformes,Crypturellus cinnamomeus,Crypturellus cinnamomeus,Crypturellus_cinnamomeus,22.51412861,Crypturellus_cinnamomeus
10021,Tinamiformes,Crypturellus boucardi,Crypturellus boucardi,Crypturellus_boucardi,25.16583352,Crypturellus_boucardi
10022,Tinamiformes,Crypturellus kerriae,Crypturellus kerriae,Crypturellus_kerriae,21.77298981,Crypturellus_kerriae
10023,Tinamiformes,Crypturellus variegatus,Crypturellus variegatus,Crypturellus_variegatus,32.55082023,Crypturellus_variegatus
10024,Tinamiformes,Crypturellus brevirostris,Crypturellus brevirostris,Crypturellus_brevirostris,18.85349121,Crypturellus_brevirostris
10025,Tinamiformes,Crypturellus bartletti,Crypturellus bartletti,Crypturellus_bartletti,26.96552277,Crypturellus_bartletti
10026,Tinamiformes,Crypturellus parvirostris,Crypturellus parvirostris,Crypturellus_parvirostris,24.69580816,Crypturellus_parvirostris
10027,Tinamiformes,Crypturellus casiquiare,Crypturellus casiquiare,Crypturellus_casiquiare,23.34369257,Crypturellus_casiquiare
10028,Tinamiformes,Crypturellus tataupa,Crypturellus tataupa,Crypturellus_tataupa,21.08513537,Crypturellus_tataupa
10029,Tinamiformes,Rhynchotus rufescens,Rhynchotus rufescens,Rhynchotus_rufescens,19.95512514,Rhynchotus_rufescens
10030,Tinamiformes,Rhynchotus maculicollis,Rhynchotus maculicollis,Rhynchotus_maculicollis,24.4408817,Rhynchotus_maculicollis
10031,Tinamiformes,Nothoprocta taczanowskii,Nothoprocta taczanowskii,Nothoprocta_taczanowskii,23.82719957,Nothoprocta_taczanowskii
10032,Tinamiformes,Nothoprocta ornata,Nothoprocta ornata,Nothoprocta_ornata,26.12276858,Nothoprocta_ornata
