CommonName,species,Order,Family,Time,,,,
Ruby-throated Hummingbird,Archilochus_colubris      ,Caprimulgiformes,Trochilidae,diurnal,,,,
Blue-gray Gnatcatcher,Polioptila_caerulea,Passeriformes,Polioptilidae,diurnal,,,,23
Ruby-crowned Kinglet,Regulus_calendula,Passeriformes,Reguliidae,,,,,46
Golden-crowned Kinglet,Regulus_satrapa,Passeriformes,Reguliidae,,,,,13
Wilson's Warbler,Cardellina_pusilla,Passeriformes,Parulidae,,,,,36
Prairie Warbler,Setophaga_discolor,Passeriformes,Parulidae,nocturnal,,,,18
Northern Parula,Setophaga_americana,Passeriformes,Parulidae,nocturnal,,,,22
Nashville Warbler,Oreothlypis_ruficapilla,Passeriformes,Parulidae,nocturnal,,,,39
Brown Creeper,Certhia_americana,Passeriformes,Certhiidae,,,,,31
Magnolia Warbler,Setophaga_magnolia,Passeriformes,Parulidae,nocturnal,,,,52
American Redstart,Setophaga_ruticilla,Passeriformes,Parulidae,nocturnal,,,,19
Bell's Vireo,Vireo_bellii,Passeriformes,Vireonidae,,,,,1
Black-throated Green Warbler,Setophaga_virens,Passeriformes,Parulidae,nocturnal,,,,48
Golden-winged Warbler,Vermivora_chrysoptera,Passeriformes,Parulidae,,,,,16
Tennessee Warbler,Oreothlypis_peregrina,Passeriformes,Parulidae,,,,,42
Blue-winged Warbler,Vermivora_cyanoptera,Passeriformes,Parulidae,nocturnal,,,,5
Sedge Wren,Cistothorus_platensis,Passeriformes,Troglodytidae,,,,,28
Cerulean Warbler,Setophaga_cerulea,Passeriformes,Parulidae,nocturnal,,,,24
Orange-crowned Warbler,Oreothlypis_celata,Passeriformes,Parulidae,,,,,43
Chestnut-sided Warbler,Setophaga_pensylvanica,Passeriformes,Parulidae,nocturnal,,,,55
Common Yellowthroat,Geothlypis_trichas,Passeriformes,Parulidae,,,,,30
Yellow-throated Warbler,Setophaga_dominica,Passeriformes,Parulidae,nocturnal,,,,54
