species,name,me,cornel,map,,
Archilochus_colubris,Ruby-throated Hummingbird,medium,med-long,https://www.allaboutbirds.org/guide/Ruby-throated_Hummingbird/maps-range,,short - carribean
Catharus_fuscescens,Veery,long,long,https://www.allaboutbirds.org/guide/Veery/maps-range,,medium - central america
Coccyzus_americanus,Yellow-billed Cuckoo,long,long,https://www.allaboutbirds.org/guide/Yellow-billed_Cuckoo/maps-range,,long - south america
Contopus_virens,Eastern Wood-Pewee,long,long,https://www.allaboutbirds.org/guide/Eastern_Wood-Pewee/maps-range,,
Dolichonyx_oryzivorus,Bobolink,long,long,https://www.allaboutbirds.org/guide/Bobolink/maps-range,,
Dumetella_carolinensis,Gray Catbird,medium,medium,https://www.allaboutbirds.org/guide/Gray_Catbird/maps-range,,
Empidonax_minimus,Least Flycatcher,medium,long,https://www.allaboutbirds.org/guide/Least_Flycatcher/maps-range,,
Empidonax_traillii,Willow Flycatcher,long,long,https://www.allaboutbirds.org/guide/Willow_Flycatcher/maps-range,,
Empidonax_virescens,Acadian Flycatcher,long,long,https://www.allaboutbirds.org/guide/Acadian_Flycatcher/maps-range,,
Geothlypis_formosa,Kentucky Warbler,long,med-long,https://www.allaboutbirds.org/guide/Kentucky_Warbler/maps-range,,
Geothlypis_trichas,Common Yellowthroat,medium,long,https://www.allaboutbirds.org/guide/Common_Yellowthroat/maps-range,,
Hirundo_rustica,Barn Swallow,medium,long,https://www.allaboutbirds.org/guide/Barn_Swallow/maps-range,,
Icteria_virens,Yellow-breasted Chat,medium,long,https://www.allaboutbirds.org/guide/Yellow-breasted_Chat/maps-range,,
Icterus_galbula,Baltimore Oriole,long,med-long,https://www.allaboutbirds.org/guide/Baltimore_Oriole/maps-range,,
Icterus_spurius,Orchard Oriole,long,long,https://www.allaboutbirds.org/guide/Orchard_Oriole/maps-range,,
Mniotilta_varia,Black-and-white Warbler,long,short-long,https://www.allaboutbirds.org/guide/Black-and-white_Warbler/maps-range,,
Myiarchus_crinitus,Great Crested Flycatcher,long,med-long,https://www.allaboutbirds.org/guide/Great_Crested_Flycatcher/maps-range,,
Oreothlypis_ruficapilla,Nashville Warbler,medium,med-long,https://www.allaboutbirds.org/guide/Nashville_Warbler/maps-range,,
Parkesia_motacilla,Louisiana Waterthrush,long,med-long,https://www.allaboutbirds.org/guide/Louisiana_Waterthrush/maps-range,,
Passerina_caerulea,Blue Grosbeak,medium,long,https://www.allaboutbirds.org/guide/Blue_Grosbeak/maps-range,,
Passerina_cyanea,Indigo Bunting,long,long,https://www.allaboutbirds.org/guide/Indigo_Bunting/maps-range,,
Petrochelidon_pyrrhonota,Cliff Swallow,long,long,https://www.allaboutbirds.org/guide/Cliff_Swallow/maps-range,,
Pheucticus_ludovicianus,Rose-breasted Grosbeak,long,long,https://www.allaboutbirds.org/guide/Rose-breasted_Grosbeak/maps-range,,
Piranga_olivacea,Scarlet Tanager,long,long,https://www.allaboutbirds.org/guide/Scarlet_Tanager/maps-range,,
Piranga_rubra,Summer Tanager,long,long,https://www.allaboutbirds.org/guide/Summer_Tanager/maps-range,,
Polioptila_caerulea,Blue-gray Gnatcatcher,short,long,https://www.allaboutbirds.org/guide/Blue-gray_Gnatcatcher/maps-range,,
Protonotaria_citrea,Prothonotary Warbler,long,med-long,https://www.allaboutbirds.org/guide/Prothonotary_Warbler/maps-range,,
