Species,Common name,Diet,Flyway,S
Acanthis_flammea,Common Redpoll,Herbivore-Granivore,e,1
Actitis_macularius,Spotted Sandpiper,Insectivore,a,1
Aechmophorus_occidentalis,Western Grebe,Piscivore,w,0
Ammodramus_savannarum,Grasshopper Sparrow,Insectivore,a,1
Ammospiza_caudacuta,Saltmarsh Sparrow,Insectivore,e,1
Ammospiza_leconteii,Le Conte's Sparrow,Granivore,c,1
Ammospiza_nelsoni,Nelson's Sparrow,Omnivore,e,1
Anas_acuta,Northern Pintail,Herbivore-Granivore,a,1
Anas_crecca,Green-winged Teal,Herbivore-Granivore,a,1
Anas_platyrhynchos,Mallard,Omnivore,a,1
Anas_rubripes,American Black Duck,Herbivore-Granivore,e,1
Anser_albifrons,Greater White-fronted Goose,Herbivore,a,1
Anser_caerulescens,Snow Goose,Herbivore,a,1
Anser_rossii,Ross's Goose,Herbivore,a,1
Anthus_rubescens,American Pipit,Insectivore,a,1
Anthus_spragueii,Sprague's Pipit,Insectivore,c,1
Antigone_canadensis,Sandhill Crane,Omnivore,a,1
Antrostomus_carolinensis,Chuck-will s-widow,Insectivore,e,1
Antrostomus_vociferus,Eastern Whip-poor-will,Insectivore,e,1
Aquila_chrysaetos,Golden Eagle,Carnivore,w,1
Archilochus_alexandri,Black-chinned Hummingbird,Nectarivore,w,1
Archilochus_colubris,Ruby-throated Hummingbird,Nectarivore,e,1
Artemisiospiza_nevadensis,Sagebrush Sparrow,Insectivore,w,1
Asio_flammeus,Short-eared Owl,Carnivore,a,1
Aythya_affinis,Lesser Scaup,Herbivore-Granivore,a,1
Aythya_americana,Redhead,Herbivore,a,1
Aythya_collaris,Ring-necked Duck,Herbivore,a,1
Aythya_valisineria,Canvasback,Herbivore,a,1
Bartramia_longicauda,Upland Sandpiper,Insectivore,c,1
Bombycilla_cedrorum,Cedar Waxwing,Frugivore,a,0
Bombycilla_garrulus,Bohemian Waxwing,Omnivore,e,1
Botaurus_lentiginosus,American Bittern,Piscivore,e,0
Branta_canadensis,Canada Goose,Herbivore,a,1
Branta_hutchinsii,Cackling Goose,Herbivore,a,1
Bucephala_albeola,Bufflehead,Insectivore,a,1
Buteo_lagopus,Rough-legged Hawk,Carnivore,a,1
Buteo_platypterus,Broad-winged Hawk,Carnivore,e,1
Buteo_regalis,Ferruginous Hawk,Carnivore,w,1
Buteo_swainsoni,Swainson's Hawk,Carnivore,w,1
Calamospiza_melanocorys,Lark Bunting,Granivore,w,1
Calcarius_lapponicus,Lapland Longspur,Omnivore,a,1
Calcarius_ornatus,Chestnut-collared Longspur,Granivore,w,1
Calcarius_pictus,Smith's Longspur,Omnivore,c,1
Calidris_bairdii,Baird's Sandpiper,Insectivore,a,1
Calidris_fuscicollis,White-rumped Sandpiper,Insectivore,e,1
Calidris_himantopus,Stilt Sandpiper,Insectivore,a,1
Calidris_mauri,Western Sandpiper,Insectivore,w,1
Calidris_melanotos,Pectoral Sandpiper,Insectivore,e,1
Calidris_minutilla,Least Sandpiper,Insectivore,a,1
Calidris_pusilla,Semipalmated Sandpiper,Insectivore,e,1
Calidris_subruficollis,Buff-breasted Sandpiper,Insectivore,e,1
Cardellina_canadensis,Canada Warbler,Insectivore,e,1
Cardellina_pusilla,Wilson's Warbler,Insectivore,a,1
Cardellina_rubrifrons,Red-faced Warbler,Insectivore,w,1
Catharus_fuscescens    ,Veery,Insectivore,NA,NA
Catharus_guttatus,Hermit Thrush,Insectivore,e,1
