species,sci_name
Ruby-throated Hummingbird,Archilochus_colubris
Veery,Catharus_fuscescens
Yellow-billed Cuckoo,Coccyzus_americanus
Eastern Wood-Pewee,Contopus_virens
Bobolink,Dolichonyx_oryzivorus
Gray Catbird,Dumetella_carolinensis
Least Flycatcher,Empidonax_minimus
Willow Flycatcher,Empidonax_traillii
Acadian Flycatcher,Empidonax_virescens
Kentucky Warbler,Geothlypis_formosa
Common Yellowthroat,Geothlypis_trichas
Barn Swallow,Hirundo_rustica
Yellow-breasted Chat,Icteria_virens
Baltimore Oriole,Icterus_galbula
Orchard Oriole,Icterus_spurius
Black-and-white Warbler,Mniotilta_varia
Great Crested Flycatcher,Myiarchus_crinitus
Nashville Warbler,Oreothlypis_ruficapilla
Louisiana Waterthrush,Parkesia_motacilla
Blue Grosbeak,Passerina_caerulea
Indigo Bunting,Passerina_cyanea
Cliff Swallow,Petrochelidon_pyrrhonota
Rose-breasted Grosbeak,Pheucticus_ludovicianus
Eastern Towhee,Pipilo_erythrophthalmus
Scarlet Tanager,Piranga_olivacea
Summer Tanager,Piranga_rubra
Blue-gray Gnatcatcher,Polioptila_caerulea
Prothonotary Warbler,Protonotaria_citrea
Eastern Phoebe,Sayornis_phoebe
Ovenbird,Seiurus_aurocapilla
Northern Parula,Setophaga_americana
Black-throated Blue Warbler,Setophaga_caerulescens
Cerulean Warbler,Setophaga_cerulea
Hooded Warbler,Setophaga_citrina
Prairie Warbler,Setophaga_discolor
Yellow-throated Warbler,Setophaga_dominica
Blackburnian Warbler,Setophaga_fusca
Magnolia Warbler,Setophaga_magnolia
Chestnut-sided Warbler,Setophaga_pensylvanica
Yellow Warbler,Setophaga_petechia
Pine Warbler,Setophaga_pinus
American Redstart,Setophaga_ruticilla
Blackpoll Warbler,Setophaga_striata
Cape May Warbler,Setophaga_tigrina
Black-throated Green Warbler,Setophaga_virens
Chipping Sparrow,Spizella_passerina
Northern Rough-winged Swallow,Stelgidopteryx_serripennis
Tree Swallow,Tachycineta_bicolor
House Wren,Troglodytes_aedon
Eastern Kingbird,Tyrannus_tyrannus
Blue-winged Warbler,Vermivora_cyanoptera
Yellow-throated Vireo,Vireo_flavifrons
Warbling Vireo,Vireo_gilvus
White-eyed Vireo,Vireo_griseus
Red-eyed Vireo,Vireo_olivaceus
Blue-headed Vireo,Vireo_solitarius
